Iteration,Approach,Pickup,Transport,Insert,Total,
170,1.84754,1.33207,1.65593,3.17995,8.01579,
171,1.80521,1.34034,1.65407,7.11359,11.9135,
172,1.771,1.33677,1.60791,3.3882,8.10423,
173,0.822568,1.33405,1.66799,4.60689,8.43179,
174,1.84318,1.33654,1.66702,9.15547,14.0025,
175,1.78799,1.3317,1.64391,10.5714,15.3353,
176,1.84791,1.33186,1.64371,30.401,35.2247,
177,3.58508,1.33272,1.63175,27.4711,34.0209,
178,3.51127,1.33649,1.65493,2.75945,9.26243,
179,1.80982,1.33407,1.64387,2.22,7.00805,
180,1.82305,1.3326,1.64475,1.73856,6.53924,
181,1.8098,1.33397,1.63195,17.4472,22.2233,
182,1.83396,1.3339,1.63278,7.2244,12.0253,
183,1.8196,1.33612,1.63179,3.70005,8.48782,
184,1.81932,1.33731,1.61902,12.2017,16.9776,
185,1.81115,1.35658,1.6319,9.2136,14.0135,
186,1.83211,1.34659,1.64399,9.74351,14.5665,
187,1.88599,1.32973,1.64383,11.7685,16.6284,
188,1.81896,1.33679,1.64481,20.0917,24.8926,
189,1.74456,1.35809,1.61988,22.3054,27.0282,
190,3.1014,1.33733,1.65501,3.39354,9.48757,
191,1.82168,1.3348,1.63095,6.70845,11.4961,
192,1.81948,1.3372,1.66683,25.8595,30.6833,
193,3.43459,1.34017,1.62078,5.24303,11.6389,
194,1.82513,1.34253,1.64387,26.8551,31.6669,
195,3.46305,1.3375,1.66697,38.0723,44.5401,
196,4.799,1.33178,1.63196,3.16215,10.9252,
197,1.82155,1.33318,1.668,6.65979,11.4828,
198,1.82227,1.35754,2.61982,6.55361,12.3535,
199,1.75904,1.33581,1.64379,11.8565,16.5954,
200,1.83008,1.36158,1.65692,30.837,35.6859,
201,3.35725,1.33449,1.6678,9.7448,16.1046,
202,1.8303,1.33556,1.6078,6.2876,11.0615,
203,1.83288,1.33398,1.63182,7.01021,11.8092,
